video_path,action_orientation,video_dirname,video_basename,frame_rate,duration_secs,frame_count,split
/data/i5O/i5OData/undercover-left/videos/20220516/131009.mp4,left,20220516,131009,10.0,60.0,600,Test
/data/i5O/i5OData/undercover-left/videos/20220516/132052.mp4,left,20220516,132052,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/132513.mp4,left,20220516,132513,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/112059.mp4,left,20220516,112059,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/095913.mp4,left,20220516,095913,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/125345.mp4,left,20220516,125345,10.0,60.0,600,Test
/data/i5O/i5OData/undercover-left/videos/20220516/091945.mp4,left,20220516,091945,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/172239.mp4,left,20220516,172239,10.0,60.0,600,Validation
/data/i5O/i5OData/undercover-left/videos/20220516/091836.mp4,left,20220516,091836,10.0,60.0,600,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220516/075508.mp4,left,20220516,075508,10.0,60.0,600,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/201348.mp4,left,20220413,201348,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/192904.mp4,left,20220413,192904,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/202031.mp4,left,20220413,202031,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/194804.mp4,left,20220413,194804,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/202245.mp4,left,20220413,202245,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/184846.mp4,left,20220413,184846,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/202714.mp4,left,20220413,202714,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/185314.mp4,left,20220413,185314,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/201924.mp4,left,20220413,201924,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/182837.mp4,left,20220413,182837,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/174243.mp4,left,20220413,174243,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/180614.mp4,left,20220413,180614,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/173024.mp4,left,20220413,173024,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/140812.mp4,left,20220413,140812,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/144609.mp4,left,20220413,144609,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/131439.mp4,left,20220413,131439,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/110044.mp4,left,20220413,110044,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/151043.mp4,left,20220413,151043,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/131546.mp4,left,20220413,131546,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/123749.mp4,left,20220413,123749,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/092656.mp4,left,20220413,092656,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/144930.mp4,left,20220413,144930,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/124431.mp4,left,20220413,124431,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/144502.mp4,left,20220413,144502,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/101925.mp4,left,20220413,101925,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/104720.mp4,left,20220413,104720,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/102928.mp4,left,20220413,102928,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/122105.mp4,left,20220413,122105,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/094702.mp4,left,20220413,094702,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/091652.mp4,left,20220413,091652,20.0,60.0,1200,Validation_unlabel
/data/i5O/i5OData/undercover-left/videos/20220413/072342.mp4,left,20220413,072342,20.0,60.0,1200,Test
/data/i5O/i5OData/undercover-left/videos/20220413/083635.mp4,left,20220413,083635,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/071658.mp4,left,20220413,071658,20.0,60.0,1200,Validation
/data/i5O/i5OData/undercover-left/videos/20220413/085216.mp4,left,20220413,085216,20.0,60.0,1200,Validation
